image,name,author,category
/content/drive/My Drive/BookCovers/image_62.jpg,Rewire Your Anxious Brain,Catherine M. Pittman,Medical
/content/drive/My Drive/BookCovers/image_63.jpg,Shadows Of The Workhouse,Jennifer Worth,Medical
/content/drive/My Drive/BookCovers/image_64.jpg,Call The Midwife,Jennifer Worth,Medical
/content/drive/My Drive/BookCovers/image_65.jpg,The Emperor of All Maladies,Siddhartha Mukherjee,Medical
/content/drive/My Drive/BookCovers/image_66.jpg,Complications,Atul Gawande,Medical
/content/drive/My Drive/BookCovers/image_67.jpg,Brain Maker,David Perlmutter,Medical
/content/drive/My Drive/BookCovers/image_68.jpg,The Gift of Therapy,Irvin Yalom,Medical
/content/drive/My Drive/BookCovers/image_69.jpg,Change Your Thinking,Dr. Sarah Edelman,Medical
/content/drive/My Drive/BookCovers/image_70.jpg,You Can Heal Your Life,Louise Hay,Medical
/content/drive/My Drive/BookCovers/image_71.jpg,Gratitude,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_72.jpg,"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Marsha M. Linehan,Medical
/content/drive/My Drive/BookCovers/image_73.jpg,Man's Search for Meaning,Viktor E. Frankl,Medical
/content/drive/My Drive/BookCovers/image_74.jpg,Don't Shoot the Dog!,Karen Pryor,Medical
/content/drive/My Drive/BookCovers/image_75.jpg,The Mindful Self-Compassion Workbook,Kristin Neff,Medical
/content/drive/My Drive/BookCovers/image_76.jpg,Self Compassion,Kristin Neff,Medical
/content/drive/My Drive/BookCovers/image_77.jpg,Trail Guide to the Body,R.  Andrew Biel,Medical
/content/drive/My Drive/BookCovers/image_78.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_79.jpg,Hands Of Light,Barbara Ann Brennan,Medical
/content/drive/My Drive/BookCovers/image_80.jpg,The Drama of the Gifted Child,Alice Miller,Medical
/content/drive/My Drive/BookCovers/image_81.jpg,Taking Charge of Your Fertility,Toni Weschler,Medical
/content/drive/My Drive/BookCovers/image_82.jpg,When Breath Becomes Air,Paul Kalanithi,Medical
/content/drive/My Drive/BookCovers/image_83.jpg,It Didn't Start with You,Mark Wolynn,Medical
/content/drive/My Drive/BookCovers/image_84.jpg,Trauma and Recovery,Judith Herman,Medical
/content/drive/My Drive/BookCovers/image_85.jpg,Love's Executioner,Irvin D. Yalom,Medical
/content/drive/My Drive/BookCovers/image_86.jpg,The Complete Ketogenic Diet for Beginners,Amy Ramos,Medical
/content/drive/My Drive/BookCovers/image_87.jpg,The Compassionate Mind,Paul Gilbert,Medical
/content/drive/My Drive/BookCovers/image_88.jpg,I Had a Black Dog,Matthew Johnstone,Medical
/content/drive/My Drive/BookCovers/image_89.jpg,The End of Alzheimer's,Dale E. Bredesen,Medical
/content/drive/My Drive/BookCovers/image_90.jpg,The Secret Language of Color Cards,Inna Segal,Medical
/content/drive/My Drive/BookCovers/image_91.jpg,The China Study: Revised and Expanded Edition,T. Colin Campbell,Medical
/content/drive/My Drive/BookCovers/image_92.jpg,Immortal Life of Henrietta Lacks,Rebecca Skloot,Medical
/content/drive/My Drive/BookCovers/image_93.jpg,"Cognitive Behavior Therapy, Second Edition",Judith S. Beck,Medical
/content/drive/My Drive/BookCovers/image_94.jpg,Smart but Scattered,Peg Dawson,Medical
/content/drive/My Drive/BookCovers/image_95.jpg,Better,Atul Gawande,Medical
/content/drive/My Drive/BookCovers/image_96.jpg,The Complete Low-Fodmap Diet,Sue Shepherd,Medical
/content/drive/My Drive/BookCovers/image_97.jpg,Farewell To The East End,Jennifer Worth,Medical
/content/drive/My Drive/BookCovers/image_98.jpg,The Epigenetics Revolution,Nessa Carey,Medical
/content/drive/My Drive/BookCovers/image_99.jpg,Maps of Meaning,Jordan B. Peterson,Medical
/content/drive/My Drive/BookCovers/image_100.jpg,A Mind of Your Own,Kelly Brogan,Medical
/content/drive/My Drive/BookCovers/image_101.jpg,The Gene,Siddhartha Mukherjee,Medical
/content/drive/My Drive/BookCovers/image_102.jpg,"Many Lives, Many Masters",Brian L. Weiss,Medical
/content/drive/My Drive/BookCovers/image_103.jpg,Musicophilia,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_104.jpg,The How Not To Die Cookbook,Michael Greger,Medical
/content/drive/My Drive/BookCovers/image_105.jpg,"Breaking the vicious cycle, Intestinal health through diet",Elaine Gottscha,Medical
/content/drive/My Drive/BookCovers/image_106.jpg,Highly Sensitive Child,Elaine N. Aron,Medical
/content/drive/My Drive/BookCovers/image_107.jpg,The 4 Pillar Plan,Dr. Rangan Chatterjee,Medical
/content/drive/My Drive/BookCovers/image_108.jpg,Into the Magic Shop,Dr. James R. Doty,Medical
/content/drive/My Drive/BookCovers/image_109.jpg,Schema Therapy,Jeffrey E. Young,Medical
/content/drive/My Drive/BookCovers/image_110.jpg,The Body Remembers,Babette Rothschild,Medical
/content/drive/My Drive/BookCovers/image_111.jpg,The Undiscovered Self,C G Jung,Medical
/content/drive/My Drive/BookCovers/image_112.jpg,Desk Reference to the Diagnostic Criteria from DSM-5,American Psychiatric Association,Medical
/content/drive/My Drive/BookCovers/image_113.jpg,When My Worries Get Too Big!,Kari Dunn Buron,Medical
/content/drive/My Drive/BookCovers/image_114.jpg,"Mind Over Mood, Second Edition",Dennis Greenberger,Medical
/content/drive/My Drive/BookCovers/image_115.jpg,ACT Made Simple,Russ Harris,Medical
/content/drive/My Drive/BookCovers/image_116.jpg,Dibs in Search of Self,Virginia M. Axline,Medical
/content/drive/My Drive/BookCovers/image_117.jpg,We Should All Be Feminists,Chimamanda Ngozi Adichie,Medical
/content/drive/My Drive/BookCovers/image_118.jpg,The Heal Your Gut Cookbook,Hillary Boynton,Medical
/content/drive/My Drive/BookCovers/image_119.jpg,On Becoming a Person,Carl Rogers,Medical
/content/drive/My Drive/BookCovers/image_120.jpg,"Ayurveda, the Science of Self-healing: A Practical Guide",Vasant Lad,Medical
/content/drive/My Drive/BookCovers/image_121.jpg,The Mindful Path to Self-Compassion,Christopher Germer,Medical
/content/drive/My Drive/BookCovers/image_122.jpg,Mindsight,Daniel J Siegel,Medical
/content/drive/My Drive/BookCovers/image_123.jpg,With the Old Breed,E B Sledge,Medical
/content/drive/My Drive/BookCovers/image_124.jpg,Get Out of Your Mind and into Your Life,Steven C. Hayes,Medical
/content/drive/My Drive/BookCovers/image_125.jpg,Sweet Poison,David Gillespie,Medical
/content/drive/My Drive/BookCovers/image_126.jpg,When the Body Says No,Gabor Mate,Medical
/content/drive/My Drive/BookCovers/image_127.jpg,Listening to the Animals: Becoming The Supervet,Noel Fitzpatrick,Medical
/content/drive/My Drive/BookCovers/image_128.jpg,Dmt : the Spririt Molecule,Rick Strassman M D,Medical
/content/drive/My Drive/BookCovers/image_129.jpg,Art Therapy Sourcebook,Cathy Malchiodi,Medical
/content/drive/My Drive/BookCovers/image_130.jpg,The Skeletal System Anatomical Chart,Anatomical Chart Company,Medical
/content/drive/My Drive/BookCovers/image_131.jpg,Intuitive Eating,Evelyn Tribole,Medical
/content/drive/My Drive/BookCovers/image_132.jpg,Spiritual Midwifery,Ina May Gaskin,Medical
/content/drive/My Drive/BookCovers/image_133.jpg,Marshall & Ruedy's On Call: Principles & Protocols,Anthony F. T. Brown,Medical
/content/drive/My Drive/BookCovers/image_134.jpg,Anatomy of Movement,Blandine Calais-Germain,Medical
/content/drive/My Drive/BookCovers/image_135.jpg,Civilization and Its Discontents,Sigmund Freud,Medical
/content/drive/My Drive/BookCovers/image_136.jpg,Get into Medical School - 1250 UKCAT Practice Questions. Includes Full Mock Exam,Olivier Picard,Medical
/content/drive/My Drive/BookCovers/image_137.jpg,The Gift Of Therapy,Irvin D. Yalom,Medical
/content/drive/My Drive/BookCovers/image_138.jpg,Mary Sheridan's From Birth to Five Years: Children's Developmental Progress,Ajay Sharma,Medical
/content/drive/My Drive/BookCovers/image_139.jpg,Brain Rules (Updated and Expanded),John Medina,Medical
/content/drive/My Drive/BookCovers/image_140.jpg,Food Rules,Michael Pollan,Medical
/content/drive/My Drive/BookCovers/image_141.jpg,Nutrient Power,William J. Walsh,Medical
/content/drive/My Drive/BookCovers/image_142.jpg,Wheat Belly,William Davis,Medical
/content/drive/My Drive/BookCovers/image_143.jpg,"Motivational Interviewing, Third Edition",William R. Miller,Medical
/content/drive/My Drive/BookCovers/image_144.jpg,An Anthropologist on Mars,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_145.jpg,Girls Only! All About Periods and Growing-Up Stuff,Victoria Parker,Medical
/content/drive/My Drive/BookCovers/image_146.jpg,How to Eat Better,James Wong,Medical
/content/drive/My Drive/BookCovers/image_147.jpg,Hashimoto's Protocol,Izabella Wentz,Medical
/content/drive/My Drive/BookCovers/image_148.jpg,Talley and O'Connor's Clinical Examination - 2-Volume Set,Professor Nicholas J. Talley,Medical
/content/drive/My Drive/BookCovers/image_149.jpg,The Wahls Protocol,Terry Wahls,Medical
/content/drive/My Drive/BookCovers/image_150.jpg,The How Not To Die Cookbook,Michael Greger,Medical
/content/drive/My Drive/BookCovers/image_151.jpg,Pilates Anatomy,Rael Isacowitz,Medical
/content/drive/My Drive/BookCovers/image_152.jpg,Quiet the Mind,Matthew Johnstone,Medical
/content/drive/My Drive/BookCovers/image_153.jpg,"Your Body, Your Yoga",Bernie Clark,Medical
/content/drive/My Drive/BookCovers/image_154.jpg,"Medical Interviews - a Comprehensive Guide to Ct, St and Registrar Interview Skills",Olivier Picard,Medical
/content/drive/My Drive/BookCovers/image_155.jpg,Radical Remission,Kelly A. Turner,Medical
/content/drive/My Drive/BookCovers/image_156.jpg,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Medical
/content/drive/My Drive/BookCovers/image_157.jpg,The Crystal Bible Volume 2,Judy Hall,Medical
/content/drive/My Drive/BookCovers/image_158.jpg,Start Where You Are,Meera Lee Patel,Medical
/content/drive/My Drive/BookCovers/image_159.jpg,Birth Skills,Juju Sundin,Medical
/content/drive/My Drive/BookCovers/image_160.jpg,The Clever Guts Diet,Michael Mosley,Medical
/content/drive/My Drive/BookCovers/image_161.jpg,Dirty Genes,Ben Lynch,Medical
/content/drive/My Drive/BookCovers/image_162.jpg,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,Medical
/content/drive/My Drive/BookCovers/image_163.jpg,Genius Foods,Max Lugavere,Medical
/content/drive/My Drive/BookCovers/image_164.jpg,"Theory and Practice of Group Psychotherapy, Fifth Edition",Irvin D. Yalom,Medical
/content/drive/My Drive/BookCovers/image_165.jpg,"Good Calories, Bad Calories",Gary Taubes,Medical
/content/drive/My Drive/BookCovers/image_166.jpg,Havard's Nursing Guide to Drugs,Adriana P. Tiziani,Medical
/content/drive/My Drive/BookCovers/image_167.jpg,Hypnobirthing,Marie F. Mongan,Medical
/content/drive/My Drive/BookCovers/image_168.jpg,The Continuum Concept,Jean Liedloff,Medical
/content/drive/My Drive/BookCovers/image_169.jpg,BSAVA Textbook of Veterinary Nursing,Tim Greet,Medical
/content/drive/My Drive/BookCovers/image_170.jpg,Trigger Point Therapy Workbook,Clair Davies,Medical
/content/drive/My Drive/BookCovers/image_171.jpg,Your Body's Many Cries for Water,F. Batmanghelidj,Medical
/content/drive/My Drive/BookCovers/image_172.jpg,The Autoimmune Solution,Amy Myers,Medical
/content/drive/My Drive/BookCovers/image_173.jpg,Healing the Fragmented Selves of Trauma Survivors,Janina Fisher,Medical
/content/drive/My Drive/BookCovers/image_174.jpg,Being Mortal,Atul Gawande,Medical
/content/drive/My Drive/BookCovers/image_175.jpg,Creative Ways to Help Children Manage BIG Feelings,Fiona Zandt,Medical
/content/drive/My Drive/BookCovers/image_176.jpg,Mycelium Running,Paul Stamets,Medical
/content/drive/My Drive/BookCovers/image_177.jpg,The Beauty Detox Solution,Kimberly Snyder,Medical
/content/drive/My Drive/BookCovers/image_178.jpg,Eat to Beat Disease,William Li,Medical
/content/drive/My Drive/BookCovers/image_179.jpg,Nutrition and Physical Degeneration,Weston Price,Medical
/content/drive/My Drive/BookCovers/image_180.jpg,Sensorimotor Psychotherapy,Pat Ogden,Medical
/content/drive/My Drive/BookCovers/image_181.jpg,Johanna's Christmas,Johanna Basford,Medical
/content/drive/My Drive/BookCovers/image_182.jpg,Mindsight,Daniel Siegel,Medical
/content/drive/My Drive/BookCovers/image_183.jpg,Put Your Heart in Your Mouth,Dr Natasha Campbell-McBride,Medical
/content/drive/My Drive/BookCovers/image_184.jpg,The Eye Of The World,Robert Jordan,Medical
/content/drive/My Drive/BookCovers/image_185.jpg,Ayurveda,Sahara Rose Ketabi,Medical
/content/drive/My Drive/BookCovers/image_186.jpg,8 Keys to Safe Trauma Recovery,Babette Rothschild,Medical
/content/drive/My Drive/BookCovers/image_187.jpg,The Sweet Poison Quit Plan,David Gillespie,Medical
/content/drive/My Drive/BookCovers/image_188.jpg,Oxford Handbook of Anaesthesia,Keith G. Allman,Medical
/content/drive/My Drive/BookCovers/image_189.jpg,The Shallows,Nicholas Carr,Medical
/content/drive/My Drive/BookCovers/image_190.jpg,Body Positive Power,Megan Jayne Crabbe,Medical
/content/drive/My Drive/BookCovers/image_191.jpg,Owning it: Your Bullsh*t-Free Guide to Living with Anxiety,Caroline Foran,Medical
/content/drive/My Drive/BookCovers/image_192.jpg,Change Your Thinking with CBT,Dr. Sarah Edelman,Medical
/content/drive/My Drive/BookCovers/image_193.jpg,Metaphysical Anatomy,Evette Rose,Medical
/content/drive/My Drive/BookCovers/image_194.jpg,The Human Brain Coloring Book,Diamond Books,Medical
/content/drive/My Drive/BookCovers/image_195.jpg,The Telomere Effect,Elizabeth Blackburn,Medical
/content/drive/My Drive/BookCovers/image_196.jpg,West's Respiratory Physiology,John B. West,Medical
/content/drive/My Drive/BookCovers/image_197.jpg,When Breath Becomes Air,Paul Kalanithi,Medical
/content/drive/My Drive/BookCovers/image_198.jpg,The Autoimmune Solution,Amy Myers,Medical
/content/drive/My Drive/BookCovers/image_199.jpg,The Body Keeps the Score,Bessel van der Kolk,Medical
/content/drive/My Drive/BookCovers/image_200.jpg,Living with a Black Dog,Matthew Johnstone,Medical
/content/drive/My Drive/BookCovers/image_201.jpg,Owning Your Own Shadow,Robert A. Johnson,Medical
/content/drive/My Drive/BookCovers/image_202.jpg,Wreck This Journal (Paper Bag),Keri Smith,Medical
/content/drive/My Drive/BookCovers/image_203.jpg,Dr Bernstein's Diabetes Solution,Dr. Richard K. Bernstein,Medical
/content/drive/My Drive/BookCovers/image_204.jpg,Robbins & Cotran Pathologic Basis of Disease,Vinay Kumar,Medical
/content/drive/My Drive/BookCovers/image_205.jpg,Accessing the Healing Power of the Vagus Nerve,Stanley Rosenberg,Medical
/content/drive/My Drive/BookCovers/image_206.jpg,How to Starve Cancer,Jane McLelland,Medical
/content/drive/My Drive/BookCovers/image_207.jpg,The Handbook of Child and Adolescent Clinical Psychology,Alan Carr,Medical
/content/drive/My Drive/BookCovers/image_208.jpg,The Mindful Way Workbook,John D. Teasdale,Medical
/content/drive/My Drive/BookCovers/image_209.jpg,Mindfulness for Health,Dr. Danny Penman,Medical
/content/drive/My Drive/BookCovers/image_210.jpg,The Female Brain,Louann Brizendine,Medical
/content/drive/My Drive/BookCovers/image_211.jpg,Health Through God's Pharmacy,Maria Treben,Medical
/content/drive/My Drive/BookCovers/image_212.jpg,Confessions of a Sociopath,M. E. Thomas,Medical
/content/drive/My Drive/BookCovers/image_213.jpg,Potter & Perry's Fundamentals of Nursing - Australian Version - 5th Edition. Print Book & E-Book,Douglas,Medical
/content/drive/My Drive/BookCovers/image_214.jpg,Healing Back Pain (Reissue Edition),John E. Sarno,Medical
/content/drive/My Drive/BookCovers/image_215.jpg,"Overcoming Binge Eating, Second Edition",Christopher G. Fairburn,Medical
/content/drive/My Drive/BookCovers/image_216.jpg,Magical Jungle,Johanna Basford,Medical
/content/drive/My Drive/BookCovers/image_217.jpg,Without Conscience,Robert D. Hare,Medical
/content/drive/My Drive/BookCovers/image_218.jpg,"Women's Bodies, Women's Wisdom",Christiane Northrup,Medical
/content/drive/My Drive/BookCovers/image_219.jpg,The Happiness Trap Pocketbook,Russ Harris,Medical
/content/drive/My Drive/BookCovers/image_220.jpg,Descartes' Error,Antonio Damasio,Medical
/content/drive/My Drive/BookCovers/image_221.jpg,Free to Learn,Peter Gray,Medical
/content/drive/My Drive/BookCovers/image_222.jpg,"Disarming the Narcissist, Second Edition",Wendy T. Behary,Medical
/content/drive/My Drive/BookCovers/image_223.jpg,Maybe You Should Talk to Someone,Lori Gottlieb,Medical
/content/drive/My Drive/BookCovers/image_224.jpg,"Overcoming Anxiety, 2nd Edition",Helen Kennerley,Medical
/content/drive/My Drive/BookCovers/image_225.jpg,The Unexpected Joy of Being Sober,Catherine Gray,Medical
/content/drive/My Drive/BookCovers/image_226.jpg,Overcoming Multiple Sclerosis Cookbook,Ingrid Adelsberger,Medical
/content/drive/My Drive/BookCovers/image_227.jpg,The Polyvagal Theory in Therapy,Deborah A. Dana,Medical
/content/drive/My Drive/BookCovers/image_228.jpg,The Psychobiotic Revolution,Scott C. Anderson,Medical
/content/drive/My Drive/BookCovers/image_229.jpg,Just Eat It,Laura Thomas,Medical
/content/drive/My Drive/BookCovers/image_230.jpg,The Dance of Anger,Harriet Lerner,Medical
/content/drive/My Drive/BookCovers/image_231.jpg,The Physiology Coloring Book,Wynn Kapit,Medical
/content/drive/My Drive/BookCovers/image_232.jpg,Period Repair Manual,Lara Briden,Medical
/content/drive/My Drive/BookCovers/image_233.jpg,Grief Counselling and Grief Therapy,J. William Worden,Medical
/content/drive/My Drive/BookCovers/image_234.jpg,The Original Reiki Handbook of Dr. Mikao Usui,Mikao Usui,Medical
/content/drive/My Drive/BookCovers/image_235.jpg,The Sick Rose,Richard Barnett,Medical
/content/drive/My Drive/BookCovers/image_236.jpg,The Sports Gene,David Epstein,Medical
/content/drive/My Drive/BookCovers/image_237.jpg,The Web That Has No Weaver,Ted J. Kaptchuk,Medical
/content/drive/My Drive/BookCovers/image_238.jpg,Breaking Negative Thinking Patterns,Gitta Jacob,Medical
/content/drive/My Drive/BookCovers/image_239.jpg,The Feeling Good Handbook,David D. Burns,Medical
/content/drive/My Drive/BookCovers/image_240.jpg,NeuroTribes,Steve Silberman,Medical
/content/drive/My Drive/BookCovers/image_241.jpg,Listening to the Animals: Becoming The Supervet,Noel Fitzpatrick,Medical
/content/drive/My Drive/BookCovers/image_242.jpg,"The Anxiety and Phobia Workbook, 6th Edition",Edmund J. Bourne,Medical
/content/drive/My Drive/BookCovers/image_243.jpg,Maps of Narrative Practice,Michael White,Medical
/content/drive/My Drive/BookCovers/image_244.jpg,Ivy and the Inky Butterfly,Johanna Basford,Medical
/content/drive/My Drive/BookCovers/image_245.jpg,Stiff,Mary Roach,Medical
/content/drive/My Drive/BookCovers/image_246.jpg,The Mindful Therapist,Daniel J. Siegel,Medical
/content/drive/My Drive/BookCovers/image_247.jpg,Healing Stories for Challenging Behaviour,Susan Perrow,Medical
/content/drive/My Drive/BookCovers/image_248.jpg,Clean,Alejandro Junger,Medical
/content/drive/My Drive/BookCovers/image_249.jpg,Cognitive Behavioural Therapy For Dummies,Rhena Branch,Medical
/content/drive/My Drive/BookCovers/image_250.jpg,The Diabetes Code,Dr. Jason Fung,Medical
/content/drive/My Drive/BookCovers/image_251.jpg,It Starts with the Egg,Rebecca Fett,Medical
/content/drive/My Drive/BookCovers/image_252.jpg,The Skincare Bible,Dr Anjali Mahto,Medical
/content/drive/My Drive/BookCovers/image_253.jpg,"Psychoanalytic Diagnosis, Second Edition",Nancy McWilliams,Medical
/content/drive/My Drive/BookCovers/image_254.jpg,"I'm Ok, You're Ok",Thomas A. Harris,Medical
/content/drive/My Drive/BookCovers/image_255.jpg,Pain and Prejudice,Gabrielle Jackson,Medical
/content/drive/My Drive/BookCovers/image_256.jpg,The Wisdom of Menopause,Christiane Northrup,Medical
/content/drive/My Drive/BookCovers/image_257.jpg,The Emperor of All Maladies,Siddhartha Mukherjee,Medical
/content/drive/My Drive/BookCovers/image_258.jpg,Period Power,Maisie Hill,Medical
/content/drive/My Drive/BookCovers/image_259.jpg,French Women Don't Get Fat,Mireille Guiliano,Medical
/content/drive/My Drive/BookCovers/image_260.jpg,The Pioppi Diet,Dr. Aseem Malhotra,Medical
/content/drive/My Drive/BookCovers/image_261.jpg,Carbs & Cals Carb & Calorie Counter,Chris Cheyette,Medical
/content/drive/My Drive/BookCovers/image_262.jpg,The Language of Kindness,Christie Watson,Medical
/content/drive/My Drive/BookCovers/image_263.jpg,Seeing Voices,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_264.jpg,Exploring Feelings,Tony Attwood,Medical
/content/drive/My Drive/BookCovers/image_265.jpg,The Stress Solution,Dr Rangan Chatterjee,Medical
/content/drive/My Drive/BookCovers/image_266.jpg,The Healing Code,Alexander Loyd,Medical
/content/drive/My Drive/BookCovers/image_267.jpg,In Defense of Food,Michael Pollan,Medical
/content/drive/My Drive/BookCovers/image_268.jpg,Bad Pharma,Ben Goldacre,Medical
/content/drive/My Drive/BookCovers/image_269.jpg,"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",Tao Le,Medical
/content/drive/My Drive/BookCovers/image_270.jpg,The Vaccine-Friendly Plan,Thomas Paul,Medical
/content/drive/My Drive/BookCovers/image_271.jpg,Bartram's Encyclopedia of Herbal Medicine,Thomas Bartram,Medical
/content/drive/My Drive/BookCovers/image_272.jpg,Stop the Thyroid Madness,Janie A Bowthorpe,Medical
